date,hits,keyword
2020-04-05,8,turtleneck sweater
2020-04-12,9,turtleneck sweater
2020-04-19,8,turtleneck sweater
2020-04-26,9,turtleneck sweater
2020-05-03,8,turtleneck sweater
2020-05-10,9,turtleneck sweater
2020-05-17,8,turtleneck sweater
2020-05-24,8,turtleneck sweater
2020-05-31,6,turtleneck sweater
2020-06-07,8,turtleneck sweater
2020-06-14,8,turtleneck sweater
2020-06-21,7,turtleneck sweater
2020-06-28,9,turtleneck sweater
2020-07-05,10,turtleneck sweater
2020-07-12,12,turtleneck sweater
2020-07-19,11,turtleneck sweater
2020-07-26,12,turtleneck sweater
2020-08-02,12,turtleneck sweater
2020-08-09,14,turtleneck sweater
2020-08-16,16,turtleneck sweater
2020-08-23,15,turtleneck sweater
2020-08-30,17,turtleneck sweater
2020-09-06,23,turtleneck sweater
2020-09-13,27,turtleneck sweater
2020-09-20,33,turtleneck sweater
2020-09-27,36,turtleneck sweater
2020-10-04,41,turtleneck sweater
2020-10-11,43,turtleneck sweater
2020-10-18,47,turtleneck sweater
2020-10-25,56,turtleneck sweater
2020-11-01,38,turtleneck sweater
2020-11-08,50,turtleneck sweater
2020-11-15,53,turtleneck sweater
2020-11-22,65,turtleneck sweater
2020-11-29,61,turtleneck sweater
2020-12-06,63,turtleneck sweater
2020-12-13,58,turtleneck sweater
2020-12-20,56,turtleneck sweater
2020-12-27,52,turtleneck sweater
2021-01-03,39,turtleneck sweater
2021-01-10,35,turtleneck sweater
2021-01-17,34,turtleneck sweater
2021-01-24,35,turtleneck sweater
2021-01-31,35,turtleneck sweater
2021-02-07,33,turtleneck sweater
2021-02-14,29,turtleneck sweater
2021-02-21,23,turtleneck sweater
2021-02-28,20,turtleneck sweater
2021-03-07,19,turtleneck sweater
2021-03-14,15,turtleneck sweater
2021-03-21,14,turtleneck sweater
2021-03-28,13,turtleneck sweater
2021-04-04,13,turtleneck sweater
2021-04-11,14,turtleneck sweater
2021-04-18,12,turtleneck sweater
2021-04-25,12,turtleneck sweater
2021-05-02,12,turtleneck sweater
2021-05-09,12,turtleneck sweater
2021-05-16,11,turtleneck sweater
2021-05-23,10,turtleneck sweater
2021-05-30,11,turtleneck sweater
2021-06-06,8,turtleneck sweater
2021-06-13,8,turtleneck sweater
2021-06-20,10,turtleneck sweater
2021-06-27,11,turtleneck sweater
2021-07-04,11,turtleneck sweater
2021-07-11,11,turtleneck sweater
2021-07-18,10,turtleneck sweater
2021-07-25,14,turtleneck sweater
2021-08-01,14,turtleneck sweater
2021-08-08,13,turtleneck sweater
2021-08-15,17,turtleneck sweater
2021-08-22,19,turtleneck sweater
2021-08-29,20,turtleneck sweater
2021-09-05,26,turtleneck sweater
2021-09-12,26,turtleneck sweater
2021-09-19,32,turtleneck sweater
2021-09-26,36,turtleneck sweater
2021-10-03,40,turtleneck sweater
2021-10-10,43,turtleneck sweater
2021-10-17,62,turtleneck sweater
2021-10-24,61,turtleneck sweater
2021-10-31,69,turtleneck sweater
2021-11-07,71,turtleneck sweater
2021-11-14,79,turtleneck sweater
2021-11-21,94,turtleneck sweater
2021-11-28,100,turtleneck sweater
2021-12-05,92,turtleneck sweater
2021-12-12,76,turtleneck sweater
2021-12-19,70,turtleneck sweater
2021-12-26,66,turtleneck sweater
2022-01-02,62,turtleneck sweater
2022-01-09,53,turtleneck sweater
2022-01-16,54,turtleneck sweater
2022-01-23,53,turtleneck sweater
2022-01-30,45,turtleneck sweater
2022-02-06,39,turtleneck sweater
2022-02-13,33,turtleneck sweater
2022-02-20,32,turtleneck sweater
2022-02-27,24,turtleneck sweater
2022-03-06,23,turtleneck sweater
2022-03-13,19,turtleneck sweater
2022-03-20,16,turtleneck sweater
2022-03-27,15,turtleneck sweater
2022-04-03,14,turtleneck sweater
2022-04-10,13,turtleneck sweater
2022-04-17,13,turtleneck sweater
2022-04-24,13,turtleneck sweater
2022-05-01,12,turtleneck sweater
2022-05-08,12,turtleneck sweater
2022-05-15,8,turtleneck sweater
2022-05-22,8,turtleneck sweater
2022-05-29,7,turtleneck sweater
2022-06-05,8,turtleneck sweater
2022-06-12,9,turtleneck sweater
2022-06-19,8,turtleneck sweater
2022-06-26,11,turtleneck sweater
2022-07-03,10,turtleneck sweater
2022-07-10,11,turtleneck sweater
2022-07-17,10,turtleneck sweater
2022-07-24,12,turtleneck sweater
2022-07-31,14,turtleneck sweater
2022-08-07,14,turtleneck sweater
2022-08-14,18,turtleneck sweater
2022-08-21,20,turtleneck sweater
2022-08-28,22,turtleneck sweater
2022-09-04,25,turtleneck sweater
2022-09-11,29,turtleneck sweater
2022-09-18,31,turtleneck sweater
2022-09-25,46,turtleneck sweater
2022-10-02,51,turtleneck sweater
2022-10-09,54,turtleneck sweater
2022-10-16,66,turtleneck sweater
2022-10-23,59,turtleneck sweater
2022-10-30,55,turtleneck sweater
2022-11-06,65,turtleneck sweater
2022-11-13,91,turtleneck sweater
2022-11-20,94,turtleneck sweater
2022-11-27,87,turtleneck sweater
2022-12-04,87,turtleneck sweater
2022-12-11,95,turtleneck sweater
2022-12-18,79,turtleneck sweater
2022-12-25,72,turtleneck sweater
2023-01-01,50,turtleneck sweater
2023-01-08,47,turtleneck sweater
2023-01-15,47,turtleneck sweater
2023-01-22,45,turtleneck sweater
2023-01-29,45,turtleneck sweater
2023-02-05,37,turtleneck sweater
2023-02-12,30,turtleneck sweater
2023-02-19,28,turtleneck sweater
2023-02-26,26,turtleneck sweater
2023-03-05,23,turtleneck sweater
2023-03-12,22,turtleneck sweater
2023-03-19,19,turtleneck sweater
2023-03-26,15,turtleneck sweater
2023-04-02,14,turtleneck sweater
2023-04-09,12,turtleneck sweater
2023-04-16,11,turtleneck sweater
2023-04-23,11,turtleneck sweater
2023-04-30,10,turtleneck sweater
2023-05-07,8,turtleneck sweater
2023-05-14,8,turtleneck sweater
2023-05-21,8,turtleneck sweater
2023-05-28,9,turtleneck sweater
2023-06-04,9,turtleneck sweater
2023-06-11,8,turtleneck sweater
2023-06-18,7,turtleneck sweater
2023-06-25,10,turtleneck sweater
2023-07-02,7,turtleneck sweater
2023-07-09,9,turtleneck sweater
2023-07-16,11,turtleneck sweater
2023-07-23,10,turtleneck sweater
2023-07-30,12,turtleneck sweater
2023-08-06,13,turtleneck sweater
2023-08-13,17,turtleneck sweater
2023-08-20,17,turtleneck sweater
2023-08-27,22,turtleneck sweater
2023-09-03,21,turtleneck sweater
2023-09-10,27,turtleneck sweater
2023-09-17,33,turtleneck sweater
2023-09-24,39,turtleneck sweater
2023-10-01,36,turtleneck sweater
2023-10-08,49,turtleneck sweater
2023-10-15,52,turtleneck sweater
2023-10-22,50,turtleneck sweater
2023-10-29,58,turtleneck sweater
2023-11-05,67,turtleneck sweater
2023-11-12,68,turtleneck sweater
2023-11-19,82,turtleneck sweater
2023-11-26,86,turtleneck sweater
2023-12-03,82,turtleneck sweater
2023-12-10,80,turtleneck sweater
2023-12-17,66,turtleneck sweater
2023-12-24,61,turtleneck sweater
2023-12-31,56,turtleneck sweater
2024-01-07,51,turtleneck sweater
2024-01-14,54,turtleneck sweater
2024-01-21,45,turtleneck sweater
2024-01-28,34,turtleneck sweater
2024-02-04,33,turtleneck sweater
2024-02-11,25,turtleneck sweater
2024-02-18,26,turtleneck sweater
2024-02-25,22,turtleneck sweater
2024-03-03,17,turtleneck sweater
2024-03-10,16,turtleneck sweater
2024-03-17,14,turtleneck sweater
2024-03-24,14,turtleneck sweater
2024-03-31,14,turtleneck sweater
2024-04-07,11,turtleneck sweater
2024-04-14,11,turtleneck sweater
2024-04-21,10,turtleneck sweater
2024-04-28,10,turtleneck sweater
2024-05-05,7,turtleneck sweater
2024-05-12,10,turtleneck sweater
2024-05-19,8,turtleneck sweater
2024-05-26,7,turtleneck sweater
2024-06-02,7,turtleneck sweater
2024-06-09,6,turtleneck sweater
2024-06-16,7,turtleneck sweater
2024-06-23,9,turtleneck sweater
2024-06-30,9,turtleneck sweater
2024-07-07,8,turtleneck sweater
2024-07-14,10,turtleneck sweater
2024-07-21,11,turtleneck sweater
2024-07-28,11,turtleneck sweater
2024-08-04,13,turtleneck sweater
2024-08-11,14,turtleneck sweater
2024-08-18,19,turtleneck sweater
2024-08-25,20,turtleneck sweater
2024-09-01,22,turtleneck sweater
2024-09-08,26,turtleneck sweater
2024-09-15,30,turtleneck sweater
2024-09-22,33,turtleneck sweater
2024-09-29,34,turtleneck sweater
2024-10-06,39,turtleneck sweater
2024-10-13,53,turtleneck sweater
2024-10-20,51,turtleneck sweater
2024-10-27,50,turtleneck sweater
2024-11-03,45,turtleneck sweater
2024-11-10,61,turtleneck sweater
2024-11-17,72,turtleneck sweater
2024-11-24,87,turtleneck sweater
2024-12-01,95,turtleneck sweater
2024-12-08,82,turtleneck sweater
2024-12-15,71,turtleneck sweater
2024-12-22,64,turtleneck sweater
2024-12-29,57,turtleneck sweater
2025-01-05,56,turtleneck sweater
2025-01-12,53,turtleneck sweater
2025-01-19,52,turtleneck sweater
2025-01-26,40,turtleneck sweater
2025-02-02,32,turtleneck sweater
2025-02-09,32,turtleneck sweater
2025-02-16,34,turtleneck sweater
2025-02-23,21,turtleneck sweater
2025-03-02,19,turtleneck sweater
2025-03-09,17,turtleneck sweater
2025-03-16,16,turtleneck sweater
2025-03-23,14,turtleneck sweater
2025-03-30,13,turtleneck sweater
2025-04-06,12,turtleneck sweater
2025-04-13,11,turtleneck sweater
